"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Photography","Germany",45,"2017","June",13441,"no"
"Theater","United States",60,"2012","March",1500,"yes"
"Games","United States",60,"2012","July",45000,"no"
"Film & Video","United States",30,"2015","February",2000,"no"
"Games","United States",40,"2014","January",7000,"yes"
"Games","United Kingdom",30,"2015","March",4885,"no"
"Film & Video","Netherlands",31,"2016","November",5403,"no"
"Fashion","Italy",21,"2017","May",6110,"yes"
"Film & Video","United Kingdom",26,"2014","August",1284,"yes"
"Music","United States",30,"2017","January",20000,"yes"
"Design","United States",42,"2014","December",2200,"yes"
"Photography","United States",30,"2013","June",3000,"no"
"Music","United States",34,"2014","August",20000,"no"
"Publishing","United States",42,"2013","November",25000,"no"
"Publishing","United States",25,"2014","April",7500,"no"
"Games","France",30,"2016","October",3055,"no"
"Film & Video","United States",60,"2015","January",15000,"no"
"Technology","United States",60,"2015","September",30000,"no"
"Music","United Kingdom",60,"2015","October",2093,"no"
"Design","Canada",44,"2014","January",1948,"no"
"Art","Ireland",40,"2017","May",28611,"no"
"Design","Germany",45,"2016","June",9164,"no"
"Film & Video","United States",30,"2016","September",6500,"no"
"Music","United States",50,"2011","December",5000,"yes"
"Technology","United States",28,"2014","July",1200,"no"
"Comics","United States",61,"2010","June",2000,"yes"
"Art","United States",30,"2015","October",2300,"yes"
"Technology","Germany",31,"2015","May",30547,"no"
"Art","United States",30,"2011","September",4400,"yes"
"Comics","France",60,"2015","August",24438,"no"
"Film & Video","United Kingdom",30,"2015","March",13956,"no"
"Fashion","United Kingdom",30,"2014","September",6978,"no"
"Design","Singapore",30,"2016","November",6046,"yes"
"Publishing","United States",30,"2015","August",5000,"no"
"Games","Germany",42,"2016","May",6110,"yes"
"Food","United Kingdom",30,"2017","October",41869,"no"
"Games","New Zealand",30,"2014","September",1780,"yes"
"Technology","United States",19,"2017","August",15000,"no"
"Fashion","Australia",14,"2017","April",3802,"no"
"Technology","United States",30,"2015","May",7000,"no"
"Fashion","Canada",40,"2016","June",42858,"no"
"Design","United Kingdom",8,"2013","September",2791,"yes"
"Art","United States",18,"2015","November",1000,"yes"
"Comics","Canada",28,"2013","October",1558,"yes"
"Design","United States",31,"2011","March",1200,"yes"
"Film & Video","United States",30,"2011","May",20000,"no"
"Art","United States",30,"2012","July",36700,"no"
"Design","United States",34,"2017","September",15000,"no"
"Music","United States",48,"2010","April",2500,"no"
"Film & Video","United States",30,"2011","June",3000,"yes"
"Fashion","United States",30,"2017","May",10000,"yes"
"Games","United States",30,"2011","January",8850,"no"
"Food","Spain",50,"2016","June",19551,"yes"
"Crafts","United States",29,"2015","February",5000,"no"
"Publishing","United States",30,"2015","August",4500,"no"
"Film & Video","United Kingdom",30,"2014","February",13956,"no"
"Film & Video","United Kingdom",59,"2013","March",8374,"no"
"Publishing","United States",29,"2011","May",3000,"no"
"Comics","United Kingdom",13,"2016","May",4885,"yes"
"Film & Video","Australia",30,"2017","December",12166,"no"
"Film & Video","Australia",30,"2014","August",3802,"no"
"Food","United States",60,"2015","May",20000,"no"
"Games","United Kingdom",30,"2016","October",6978,"no"
"Crafts","Australia",30,"2014","July",4562,"no"
